MODULO;CODIGOPARAMETRO;DESCRIPCIONPARAMETRO;FUENTE;VALORPORDEFECTO;VALORPORCENTRO;ORGANIZACION;CENTRO;SERVICIO
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;08-CEX;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;15-CEX;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;99-UF1;ÁREA PRUEBAS TELVENT;PRUEBAS TELVENT;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;07-CEX;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;10-CONEXT;ÁREA HOSPITALARIA MADRID;NUESTRA SEÑORA DE LA PAZ;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;01-CEX;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;PENDIENTE DE ASIGNAR;ÁREA HOSPITALARIA MÁLAGA;C. ASISTENCIAL SAN JUAN DE DIOS;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;0;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;13-RES;ÁREA HOSPITALARIA DE GRANADA;RESIDENCIA SAN JUAN DE DIOS;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;12-REAS;ÁREA HOSPITALARIA SEVILLA;Resid. S. JUAN DIOS;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;02-RES;ÁREA HOSPITALARIA ALCALÁ;CIUDAD. S. JUAN DIOS;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;TiCares;;04-RES;ÁREA HOSPITALARIA LAS PALMAS;CSJD LAS PALMAS;
Gestión de agendas y citas;PA_PASSCH0010;Días máximos según ley de garantía;TiCares;60;;;;
Estación Clínica;PA_PASSCH0011;Número de peticiones recientes a mostrar;TiCares;10;;;;
Estación Clínica;PA_PASSCH0012;Número de días atrás para buscar las últimas peticiones;TiCares;10;;;;
Gestión de agendas y citas;PA_PASSCH0013;Entidad  tarifa por defecto para Consultas Externas;TiCares;;15-CONSO/15-CONSO;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Gestión de agendas y citas;PA_PASSCH0013;Entidad  tarifa por defecto para Consultas Externas;TiCares;;07-SCS/07-CEX-24;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Gestión de agendas y citas;PA_PASSCH0013;Entidad  tarifa por defecto para Consultas Externas;TiCares;;COSAL/CCONSUL;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0013;Entidad  tarifa por defecto para Consultas Externas;TiCares;;01-COSAL/01-PRES;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Gestión de agendas y citas;PA_PASSCH0014;Rango que van a usar los selectores de citación de consultas Externas (OFS,FS,S);TiCares;S;;;;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Enfermería;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;480;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;60;ÁREA HOSPITALARIA MÁLAGA;C. ASISTENCIAL SAN JUAN DE DIOS;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;120;ÁREA HOSPITALARIA MADRID;NUESTRA SEÑORA DE LA PAZ;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;5;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;480;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;480;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;60;ÁREA HOSPITALARIA SEVILLA;Resid. S. JUAN DIOS;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;15;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;60;ÁREA HOSPITALARIA DE GRANADA;RESIDENCIA SAN JUAN DE DIOS;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;60;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;120;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;60;ÁREA HOSPITALARIA ALCALÁ;CIUDAD. S. JUAN DIOS;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;TiCares;10;60;ÁREA HOSPITALARIA LAS PALMAS;CSJD LAS PALMAS;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;480;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;5;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;60;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;5;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;24;ÁREA HOSPITALARIA MÁLAGA;C. ASISTENCIAL SAN JUAN DE DIOS;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;120;ÁREA HOSPITALARIA MADRID;NUESTRA SEÑORA DE LA PAZ;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;60;ÁREA HOSPITALARIA DE GRANADA;RESIDENCIA SAN JUAN DE DIOS;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;10;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;480;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;120;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;60;ÁREA HOSPITALARIA SEVILLA;Resid. S. JUAN DIOS;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;60;ÁREA HOSPITALARIA ALCALÁ;CIUDAD. S. JUAN DIOS;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;TiCares;2;60;ÁREA HOSPITALARIA LAS PALMAS;CSJD LAS PALMAS;
Control de accesos;PA_PASACC0001;Activa o desactiva el uso del control de acceso: TRUE indica activo, FALSE inactivo.;TiCares;false;;;;
Control de accesos;PA_PASACC0002;Activar el servicio que lee el fichero de admitidos.;TiCares;false;;;;
Control de accesos;PA_PASACC0003;Frecuencia de lectura de fichero de admitidos (segundos) ;TiCares;900;;;;
Control de accesos;PA_PASACC0004;Parámetro que indica la ruta donde se encuentra el fichero de hospitalizados;TiCares;c:\;;;;
Facturación;PA_PASINV0001;IVA por defecto;TiCares;0;0;ÁREA HOSPITALARIA SEVILLA;;
Facturación;PA_PASINV0001;IVA por defecto;TiCares;0;0;ÁREA HOSPITALARIA CÓRDOBA;;
Facturación;PA_PASINV0001;IVA por defecto;TiCares;0;0;ÁREA HOSPITALARIA TENERIFE;;
Facturación;PA_PASINV0001;IVA por defecto;TiCares;0;0;ÁREA HOSPITALARIA DE JEREZ;;
Facturación;PA_PASINV0003;Redondeo por Defecto;TiCares;0.5;;;;
Facturación;PA_PASINV0020;Parámetro que indica si deben facturarse los tipos de episodios secundarios o no;TiCares;true;;;;
Farmacia;PA_DISPHA0018;Indica si se cargan a demanda las pestañas de la ficha de medicamento al ser modificado;TiCares;true;;;;
Facturación;PA_PASINV0005;Identificador externo por defecto en factura;TiCares;NNESP;;;;
Procesos;PA_COMPRO0003;Utilización de procesos en la aplicación;TiCares;true;;;;
Estación Clínica;PA_CISMED0040;Hora máxima hasta la que estará vigente una prescripción de medicación (sólo si está activado el circuito de validación de prescripciones);TiCares;08:00;;;;
Farmacia;PA_DISPHA0020;Indica si los pacientes en planta son de larga estancia;TiCares;false;;;;
Estación Clínica;PA_CISMED0041;Indicativo si se desea presentar la opción Consultar en el popup del resumen de historia clínica;TiCares;1;;;;
Estación Clínica;PA_CISMED0042;Indica si el sistema permite o no realizar prescripciones ambulatorias;TiCares;0;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Estación Clínica;PA_CISMED0042;Indica si el sistema permite o no realizar prescripciones ambulatorias;TiCares;0;1;ÁREA HOSPITALARIA MADRID;NUESTRA SEÑORA DE LA PAZ;
Estación Clínica;PA_CISMED0042;Indica si el sistema permite o no realizar prescripciones ambulatorias;TiCares;0;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0043;Si en la búsqueda de prescripciones, sólo aparece marcardo el check Prescripción intrahospitalaria (1) o sólo el de Prescripciones Ambulatorias (2);TiCares;1;;;;
Estación Clínica;PA_CISMED0044;Número máximo de medicamentos permitidos en una prescripción ambulatoria;TiCares;1;;;;
Estación Clínica;PA_CISMED0045;Tiempo permitido para modificar o eliminar una prescripción de medicamentos ambulatoria;TiCares;PA_CISMED0032;;;;
Estación Clínica;PA_CISMED0046;Duración de vigencia de una prescripción ambulatoria (en días);TiCares;1;;;;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_TEN;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_OK;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_MAL;ÁREA HOSPITALARIA MÁLAGA;C. RESIDENCIA ANTEQUERA;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_CPZ;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_RESGRA;ÁREA HOSPITALARIA DE GRANADA;RESIDENCIA SAN JUAN DE DIOS;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_SAG;ÁREA HOSPITALARIA SEVILLA;Resid. S. JUAN DIOS;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_JER;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_MAL;ÁREA HOSPITALARIA MÁLAGA;C. ASISTENCIAL SAN JUAN DE DIOS;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_ALC;ÁREA HOSPITALARIA ALCALÁ;CIUDAD. S. JUAN DIOS;
Pacientes;PA_COMCLI0007;Formulario asociado a ficha del paciente;TiCares;;DAT_EXT_PAC_LP;ÁREA HOSPITALARIA LAS PALMAS;CSJD LAS PALMAS;
Farmacia;PA_DISPHA0021;El sistema bloquea prescripciones no validadas en la preparación de carros de farmacia.;SFERE;1;;;;
Pacientes;PA_COMCLI0008;Centro que gestiona la historia familiar;TiCares;0;;;;
Pacientes;PA_COMCLI0009;Formulario de historia familiar;TiCares;;;;;
Servicios Intermedios;PA_DISMOR0006;Carga del combo estado de trabajo en sala;TiCares;;1;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Servicios Intermedios;PA_DISMOR0006;Carga del combo estado de trabajo en sala;TiCares;;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Servicios Intermedios;PA_DISMOR0005;Imprimir Carta de No Realización;TiCares;patientReceptionNRPrint;;;;
Servicios Intermedios;PA_DISMOR0004;Tiempo de refresco de la pantalla de Recepción de Pacientes;TiCares;240000;;;;
Servicios Intermedios;PA_DISMOR0003;Indica si se debe realizar refresco de la pantalla de Recepción de Pacientes;TiCares;1;;;;
Servicios Intermedios;PA_DISMOR0002;Número de posibles citas a dar para cada agenda;TiCares;10;;;;
Servicios Intermedios;PA_DISMOR0001;Número de posibles citas a dar;TiCares;2;;;;
Vacunas;PA_PRCVAC0001;Edad Adulta;TiCares;18;;;;
Farmacia;PA_DISPHA0023;Activo circuito de entrega de medicamentos de recetas ambulatorias;SFERE;false;true;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Farmacia;PA_DISPHA0024;Código del motivo de cancelación de entrega de medicamento cuando se cancela una receta;SFERE;;;;;
Farmacia;PA_DISPHA0025;Asociar enfermedad de especial vigilancia(programa) a receta;SFERE;false;;;;
Farmacia;PA_DISPHA0026;Tipo de terpapia en receta ambulatorio obligatorio;SFERE;false;;;;
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;RADIODIAGNÓSTICO
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;ANGIOLOGÍA Y C. VASCULAR
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;ALTA TECNOLOGÍA RADIOLÓGICA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;CIRUGÍA GRAL. Y DIG.
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;CIRUGÍA PLÁSTICA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;MEDICINA INTERNA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;ORTOPEDIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;REHABILITACIÓN
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;REUMATOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;TECNICAS DE ENFERMERIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;CUIDADOS INTENSIVOS
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;ALIMENTACIÓN
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;ELECTROCARDIOGRAMA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;ECOGRAFÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;EDUCADORES
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;ELECTROENCEFALOGRAMA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;ENFERMERÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;FACTURACIÓN
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;FARMACIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;FISIOTERAPIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;GINECOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;LABORATORIO DE UNILABS
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;CONSULTAS MEDICINA INTERNA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;CONSULTAS DE NEUROFISIOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;PASTORAL
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;PODOLOGIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;PSICOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;CONSULTAS PSIQUIÁTRICAS
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;RADIOLOGÍA GENERAL
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;CONSULTAS REHABILITACIÓN
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;SESIONES DE REHABILITACION
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;SESIONES TERAPEÚTICAS
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;TALLERES
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;TERAPIA OCUPACIONAL
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;TRASTORNOS DE LA ALIMENTACIÓN
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;TRABAJO SOCIAL
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;LABORATORIOS
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;DESARROLLO INFANTIL DE ATENCIÓN TEMPRANA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;LABORATORIO
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;ASISTENCIA ANCIANOS RESIDENCIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;CIRUGÍA MAXILOFACIAL
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;LOGOPEDIA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;NEUMOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;NEUROLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;OFTALMOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;1;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;TRABAJO SOCIAL
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;CARDIOLOGÍA INTERVENCIONISTA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;CARDIOLOGÍA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;GIMNASIO HEALTH SPACE
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;CIRUGÍA CARDIOVASCULAR
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio (No permite diferir);TiCares;;0;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;CIRUGÍA GENERAL Y DIGESTIVA
